Action,ObjectId,DisplayName,Owner,Pbl,Rule,Comment
Add,,ProcGrps-UnitTest11,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest12,AdeleV@bossedev.onmicrosoft.com;AlexW@bossedev.onmicrosoft.com;DiegoS@bossedev.onmicrosoft.com;GradyA@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add mulitple owners
Add,,ProcGrps-UnitTest13,AdeleV@bossedev.onmicrosoft.com;AlexW@bossedev.onmicrosoft.com;DiegoS@bossedev.onmicrosoft.com;GradyA@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add mulitple owners
Add,,ProcGrps-UnitTest14,AdeleV@bossedev.onmicrosoft.com;AlexW@bossedev.onmicrosoft.com;DiegoS@bossedev.onmicrosoft.com;GradyA@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add mulitple owners
Add,,ProcGrps-UnitTest15,AdeleV@bossedev.onmicrosoft.com;AlexW@bossedev.onmicrosoft.com;DiegoS@bossedev.onmicrosoft.com;GradyA@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add mulitple owners
,,ProcGrps-UnitTest16,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - blank Action
Create,,ProcGrps-UnitTest17,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - invalid Action
Add,,,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - blank DisplayName on Add
Add,,ProcGrps-UnitTest18,,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - blank Owner on Add
Add,,ProcGrps-UnitTest19,AdeleV@bossedev.onmicrosoft.com,,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - blank Description on Add
Add,,ProcGrps-UnitTest20,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,,Error - blank Rule on Add
Add,,ProcGrps-UnitTest21,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq 'Engineer' -and user.State -eq 'NC',Error - invalid rule - invalid ' character
Add,,ProcGrps-UnitTest22,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_Foo -eq ""Engineer"" -and user.Foo -eq ""NC""",Error - invalid rule - unknown property name
Add,,ProcGrps-UnitTest23,Foo@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - specified owner does not exist
Add,,ProcGrps-UnitTest01,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - existing Display Name on Add
